COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Mexico,MEX,AMRO,REPORTING,16/09/2022,209673612,97018292,162.622,75.247,79947470,62.007,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/12/2020,7,57014052,44.22
Micronesia (Federated States of),FSM,WPRO,REPORTING,20/08/2022,170346,70204,148.097,61.035,66174,57.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13/01/2021,4,30537,26.549
Monaco,MCO,EURO,REPORTING,02/01/2022,58294,23460,148.5,59.78,23356,59.515,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/06/2021,6,11478,29.248
Mongolia,MNG,WPRO,REPORTING,16/09/2022,5657340,2282141,172.57,69.614,2182631,66.578,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23/02/2021,6,1054108,32.154
Montenegro,MNE,EURO,REPORTING,11/09/2022,526467,272415,83.8,43.806,254052,40.853,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",24/02/2021,5,0,0
Montserrat,MSR,AMRO,REPORTING,16/09/2022,4544,2099,90.898,41.988,1935,38.708,AstraZeneca - Vaxzevria,08/02/2021,1,510,10.202
Morocco,MAR,EMRO,REPORTING,28/09/2022,55269802,25003222,149.74,67.74,23499339,63.666,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",28/01/2021,10,6864954,18.599
Mozambique,MOZ,AFRO,REPORTING,18/09/2022,19127825,13465329,61.198,43.082,12861896,41.151,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",08/03/2021,3,,
Myanmar,MMR,SEARO,REPORTING,18/06/2022,64549994,34777314,118.637,63.917,27545329,50.626,"Beijing CNBG - BBIBP-CorV,SII - Covishield",27/01/2021,2,2227351,4.094
Namibia,NAM,AFRO,REPORTING,18/09/2022,952713,587544,37.495,23.123,514487,20.248,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19/03/2021,4,,
Nauru,NRU,WPRO,REPORTING,31/03/2022,22976,9464,212.073,87.355,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",09/04/2021,2,4927,45.477
Nepal,NPL,SEARO,REPORTING,25/09/2022,57909436,27148456,198.75,93.176,22565230,77.446,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",27/01/2021,8,8195750,28.129
Netherlands,NLD,EURO,REPORTING,11/09/2022,36105753,12776868,207.4,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",06/01/2021,6,9417108,54.098
New Caledonia,NCL,WPRO,REPORTING,29/08/2022,465964,188411,163.211,65.994,184459,64.61,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",20/01/2021,2,93094,32.608
New Zealand,NZL,WPRO,REPORTING,16/09/2022,11746117,4257650,243.583,88.292,4096019,84.94,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",19/02/2021,4,2707163,56.139
Nicaragua,NIC,AMRO,REPORTING,16/09/2022,11780033,6060697,177.824,91.488,5719336,86.335,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",03/03/2021,9,,
Niger,NER,AFRO,REPORTING,11/09/2022,4534313,3740079,18.732,15.451,2980972,12.315,"Beijing CNBG - BBIBP-CorV,SII - Covishield",29/03/2021,2,,
Nigeria,NGA,AFRO,REPORTING,18/09/2022,70896744,46710345,34.393,22.66,33808662,16.401,SII - Covishield,05/03/2021,1,,
Niue,NIU,WPRO,REPORTING,02/08/2022,4180,1650,258.344,101.978,1436,88.752,Pfizer BioNTech - Comirnaty,08/06/2021,1,1094,67.614
North Macedonia,MKD,EURO,REPORTING,11/09/2022,1861305,854279,89.3,41.145,837818,40.352,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",17/02/2021,7,161107,7.759
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,27/05/2022,110882,44814,192.647,77.86,43944,76.349,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",19/12/2020,3,23286,40.457
Norway,NOR,EURO,REPORTING,18/09/2022,11384475,4343603,212.1,80.923,4057693,75.596,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,4,2990267,55.71
occupied Palestinian territory,PSE,EMRO,REPORTING,09/08/2022,3741181,2010433,73.336,39.409,1774298,34.781,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",02/02/2021,10,334586,6.559
Oman,OMN,EMRO,REPORTING,27/09/2022,7108547,3279632,139.202,64.223,3047955,59.686,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",29/12/2020,11,780960,15.293
Pakistan,PAK,EMRO,REPORTING,25/09/2022,310629295,153628995,140.625,69.549,131226523,59.407,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",03/02/2021,11,43603347,19.74
Palau,PLW,WPRO,REPORTING,06/09/2022,50160,20094,277.25,111.066,18403,101.719,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",03/01/2021,3,12856,71.059
Panama,PAN,AMRO,REPORTING,16/09/2022,8596144,3500120,199.226,81.12,3147019,72.936,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",20/01/2021,2,1718245,39.822
Papua New Guinea,PNG,WPRO,REPORTING,18/09/2022,485119,352536,5.422,3.94,292910,3.274,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",30/03/2021,4,26737,0.299
Paraguay,PRY,AMRO,REPORTING,16/09/2022,9364504,3960665,131.293,55.53,3508475,49.19,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",22/02/2021,8,1599164,22.421
Peru,PER,AMRO,REPORTING,16/09/2022,83792729,29852057,254.134,90.538,28181183,85.47,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",09/02/2021,4,20930871,63.481
Philippines,PHL,WPRO,REPORTING,15/09/2022,164304227,77470954,149.939,70.697,72853661,66.484,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",01/03/2021,11,18779611,17.138
Pitcairn Islands,PCN,WPRO,REPORTING,28/02/2022,138,55,276,110,37,74,AstraZeneca - Vaxzevria,17/05/2021,1,23,46
Poland,POL,EURO,REPORTING,18/09/2022,54976906,22876056,144.8,60.267,22579467,59.485,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,12354319,32.547
Portugal,PRT,EURO,REPORTING,18/09/2022,25139837,9754789,244.2,97.007,8918454,86.621,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",23/12/2020,8,6902946,67.046
Puerto Rico,PRI,AMRO,REPORTING,16/09/2022,7587081,3107744,265.203,108.63,2710134,94.732,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1665209,58.207
Qatar,QAT,EMRO,REPORTING,28/09/2022,7491345,2806774,260.021,97.422,2805773,97.387,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1878798,65.212
Republic of Korea,KOR,WPRO,REPORTING,16/09/2022,130693258,45109586,254.916,87.986,44672314,87.133,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",26/02/2021,5,33579314,65.496
Republic of Moldova,MDA,EURO,REPORTING,18/09/2022,2241785,1101302,55.6,27.301,1071341,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",03/03/2021,7,370563,9.186
Romania,ROU,EURO,REPORTING,18/09/2022,16079395,8182350,83.2,42.332,8134941,42.087,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",27/01/2021,4,1760526,9.108
Russian Federation,RUS,EURO,OWID,28/09/2022,175974391,84218429,120.6,57.71,76640472,52.517,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,18/09/2022,26080356,9172811,201.358,70.82,8938849,69.014,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05/03/2021,7,,
Saba,XCA,AMRO,REPORTING,16/09/2022,4471,1687,231.298,87.274,1657,85.722,,,,1127,58.303
Saint Helena,SHN,AFRO,OWID,05/05/2021,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,16/09/2022,64225,33794,120.742,63.532,26944,50.654,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",22/02/2021,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,16/09/2022,122552,59973,66.74,32.66,54780,29.832,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",17/02/2021,5,7799,4.247
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,16/09/2022,72687,37220,65.519,33.55,31319,28.231,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",01/02/2021,5,4148,3.739
Samoa,WSM,WPRO,REPORTING,12/09/2022,510313,230407,257.196,116.124,211455,106.573,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",18/04/2021,2,68451,34.499
San Marino,SMR,EURO,REPORTING,22/05/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",24/02/2021,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,18/09/2022,227479,127366,103.796,58.116,103349,47.157,"AstraZeneca - Vaxzevria,SII - Covishield",15/03/2021,2,,
Saudi Arabia,SAU,EMRO,REPORTING,27/09/2022,67839503,26892699,194.863,77.247,25290533,72.645,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",06/01/2021,10,15656271,44.971
Senegal,SEN,AFRO,REPORTING,18/09/2022,2165205,1504180,12.931,8.983,1116294,6.667,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",23/02/2021,3,,
Serbia,SRB,EURO,REPORTING,12/06/2022,6708547,3391961,96.9,48.969,3316586,47.881,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,5,0,0
Seychelles,SYC,AFRO,REPORTING,18/09/2022,215016,85472,218.63,86.909,81244,82.61,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",10/01/2021,4,,
Sierra Leone,SLE,AFRO,REPORTING,18/09/2022,4258299,3122384,53.382,39.142,2414975,30.274,"Beijing CNBG - BBIBP-CorV,SII - Covishield",15/03/2021,2,,
Singapore,SGP,WPRO,REPORTING,12/09/2022,14326294,5024384,244.88,85.882,5004693,85.545,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,4297217,73.452
Sint Eustatius,XBA,AMRO,REPORTING,16/09/2022,4257,1791,135.616,57.056,1686,53.711,,,,780,24.849
Sint Maarten,SXM,AMRO,REPORTING,16/09/2022,65095,29788,151.8,69.465,26286,61.298,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",22/02/2021,3,9021,21.037
Slovakia,SVK,EURO,REPORTING,18/09/2022,7153405,2838382,131.1,52.005,2789786,51.115,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",06/01/2021,6,1681422,30.807
Slovenia,SVN,EURO,REPORTING,18/09/2022,2967870,1233944,141.6,58.875,1203376,57.417,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,652670,31.141
Solomon Islands,SLB,WPRO,REPORTING,18/09/2022,530429,311774,77.223,45.39,207988,30.28,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",23/03/2021,4,12745,1.855
Somalia,SOM,EMRO,REPORTING,27/09/2022,5656748,4661532,35.592,29.33,3460897,21.776,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",16/03/2021,11,,
South Africa,ZAF,AFRO,REPORTING,18/09/2022,37580608,23705134,63.364,39.969,20774358,35.028,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17/02/2021,2,,
South Sudan,SSD,AFRO,REPORTING,18/09/2022,2085469,2035179,18.631,18.181,1993200,17.806,"Janssen - Ad26.COV 2-S,SII - Covishield",06/04/2021,2,,
Spain,ESP,EURO,REPORTING,18/09/2022,102999225,41279842,217.6,87.212,37481692,79.188,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,25961410,54.849
Sri Lanka,LKA,SEARO,REPORTING,25/09/2022,39994991,17130182,186.777,79.998,14687790,68.592,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29/01/2021,6,8177019,38.187
Sudan,SDN,EMRO,REPORTING,30/05/2022,8179010,6651268,18.653,15.168,4536964,10.347,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",09/03/2021,11,50234,0.115
Suriname,SUR,AMRO,REPORTING,16/09/2022,554588,267820,94.538,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23/02/2021,5,48889,8.334
Sweden,SWE,EURO,REPORTING,18/09/2022,22293692,7501635,215.9,72.637,7363694,71.301,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,5500623,53.261
Switzerland,CHE,EURO,REPORTING,18/09/2022,15824257,6092712,182.8,70.796,5717193,66.432,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,4,4074010,47.339
Syrian Arab Republic,SYR,EMRO,REPORTING,22/09/2022,4709714,3015708,26.912,17.232,2088765,11.935,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",01/04/2021,11,59499,0.34
Tajikistan,TJK,EURO,REPORTING,21/08/2022,15441380,5282863,161.9,55.39,5120562,53.688,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",24/03/2021,6,4951036,51.91
Thailand,THA,SEARO,REPORTING,26/09/2022,142536808,56996810,204.208,81.657,53470871,76.606,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",28/02/2021,8,32069127,45.944
The United Kingdom,GBR,EURO,REPORTING,04/09/2022,151248820,53806963,222.8,79.058,50745901,74.561,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21/12/2020,3,,
Timor-Leste,TLS,SEARO,REPORTING,28/09/2022,1820082,853527,138.048,64.737,749160,56.821,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",07/04/2021,4,217395,16.489
Togo,TGO,AFRO,REPORTING,11/09/2022,3286253,2164950,39.695,26.151,1435999,17.346,SII - Covishield,10/03/2021,1,,
Tokelau,TKL,WPRO,REPORTING,21/04/2022,3326,1339,246.37,99.185,1125,83.333,Pfizer BioNTech - Comirnaty,20/07/2021,1,862,63.852
Tonga,TON,WPRO,REPORTING,17/08/2022,201685,87080,190.818,82.388,76604,72.476,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",14/04/2021,2,37475,35.456
Trinidad and Tobago,TTO,AMRO,REPORTING,16/09/2022,1580605,753467,112.942,53.839,716762,51.216,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",17/02/2021,5,168540,12.043
Tunisia,TUN,EMRO,REPORTING,28/09/2022,13146062,7208140,111.232,60.99,6383424,54.012,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",13/03/2021,10,1245676,10.54
Turkey,TUR,EURO,OWID,28/09/2022,152209055,57923650,180.5,69.657,53156652,63.925,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3,,
Turkmenistan,TKM,EURO,REPORTING,06/03/2022,7140000,2970000,118.4,49.244,2920000,48.415,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",24/02/2021,7,1250000,20.726
Turks and Caicos Islands,TCA,AMRO,REPORTING,16/09/2022,72837,32338,188.122,83.522,30288,78.227,Pfizer BioNTech - Comirnaty,11/01/2021,1,7272,18.782
Tuvalu,TUV,WPRO,REPORTING,21/07/2022,23746,9452,201.374,80.156,9015,76.45,AstraZeneca - Vaxzevria,13/04/2021,1,5279,44.768
Uganda,UGA,AFRO,REPORTING,18/09/2022,25273890,18483027,55.254,40.408,12668841,27.697,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",10/03/2021,5,,
Ukraine,UKR,EURO,REPORTING,27/02/2022,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",24/02/2021,6,741197,1.695
United Arab Emirates,ARE,EMRO,REPORTING,06/07/2022,24922054,9991089,251.982,101.018,9792266,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,11,5138699,51.956
United Republic of Tanzania,TZA,AFRO,REPORTING,18/09/2022,25039939,20715016,41.919,34.679,18841873,31.543,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",28/07/2021,3,,
United States of America,USA,AMRO,REPORTING,16/09/2022,604511670,268373101,182.63,81.079,221927916,67.047,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",14/12/2020,4,107488102,32.473
Uruguay,URY,AMRO,REPORTING,16/09/2022,8734752,3001089,251.452,86.394,2892853,83.278,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",27/02/2021,3,2062808,59.383
Uzbekistan,UZB,EURO,REPORTING,04/09/2022,65334146,21051293,195.2,62.898,16495460,49.285,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",28/04/2021,8,13316693,39.788
Vanuatu,VUT,WPRO,REPORTING,19/06/2022,260304,143339,84.75,46.668,130607,42.523,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",02/06/2021,3,15966,5.198
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,16/09/2022,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",22/02/2021,6,651502,2.291
Viet Nam,VNM,WPRO,REPORTING,15/09/2022,259176472,89880152,266.263,92.338,84072281,86.371,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",08/03/2021,6,55285754,56.797
Wallis and Futuna,WLF,WPRO,REPORTING,26/07/2022,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,19/03/2021,1,3201,28.463
Yemen,YEM,EMRO,REPORTING,28/09/2022,1065395,861625,3.572,2.889,604202,2.026,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",20/04/2021,11,33507,0.112
Zambia,ZMB,AFRO,REPORTING,04/09/2022,9015082,7876354,49.038,42.844,5682972,30.913,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",14/04/2021,3,,
Zimbabwe,ZWE,AFRO,REPORTING,18/09/2022,12487631,6501801,84.019,43.745,4855368,32.668,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",18/02/2021,4,,
